Date,聯電,台達電,鴻海,台積電,廣達,中華電,聯發科,日月光投控,加權指數
2026-04-22,78.5999984741211,2004.518310546875,214.6090087890625,2044.54541015625,335.0,136.5,2295.0,460.7882385253906,37878.46875
2026-04-23,73.5999984741211,1969.700439453125,218.4933319091797,2074.465576171875,322.0,136.0,2215.0,460.29278564453125,37714.1484375
2026-04-24,74.5,2064.206298828125,215.0945587158203,2179.186279296875,323.0,135.5,2435.0,491.5074768066406,38932.3984375
2026-04-27,72.69999694824219,2009.4923095703125,221.40658569335938,2258.973388671875,325.5,137.0,2435.0,491.0119934082031,39616.62890625
2026-04-28,75.0999984741211,2113.946044921875,218.9788818359375,2209.1064453125,321.0,137.0,2615.0,491.0119934082031,39521.73046875
2026-04-29,74.5,2153.738037109375,218.4933319091797,2174.199462890625,322.0,136.5,2575.0,484.0754089355469,39303.5
2026-04-30,77.30000305175781,2153.738037109375,213.1523895263672,2129.3193359375,312.5,136.0,2610.0,473.6705017089844,38926.62890625
2026-05-04,81.19999694824219,2208.451904296875,220.92103576660156,2268.94677734375,318.0,135.5,2870.0,520.2448120117188,40705.140625
2026-05-05,83.0999984741211,2153.738037109375,232.5740203857422,2244.013427734375,321.0,136.0,3155.0,515.2901000976562,40769.2890625
2026-05-06,91.4000015258789,2198.50390625,244.71253967285156,2244.013427734375,346.5,136.0,3430.0,519.2538452148438,41138.8515625
2026-05-07,96.5,2268.139892578125,246.16915893554688,2303.853759765625,344.0,135.5,3420.0,535.1089477539062,41933.78125
2026-05-08,91.30000305175781,2188.555908203125,242.77037048339844,2283.906982421875,340.5,136.5,3630.0,511.3263244628906,41603.94140625
2026-05-11,95.0,2233.322021484375,244.71253967285156,2229.05322265625,343.5,135.5,3880.0,532.1361083984375,41790.05859375
2026-05-12,104.5,2183.58203125,242.77037048339844,2249.0,340.0,135.5,3700.0,549.9730834960938,41898.3203125
2026-05-13,98.4000015258789,2153.738037109375,243.741455078125,2214.093017578125,340.5,137.5,3495.0,543.0364990234375,41374.5
2026-05-14,108.0,2143.7900390625,237.42942810058594,2263.960205078125,334.5,137.5,3405.0,543.0364990234375,41751.75
2026-05-15,110.0,2064.206298828125,241.31375122070312,2258.973388671875,306.0,138.0,3260.0,542.0455322265625,41172.359375
2026-05-18,111.0,2009.4923095703125,241.31375122070312,2234.0400390625,300.0,137.0,3400.0,505.38067626953125,40891.8203125
2026-05-19,113.0,1905.03857421875,237.9149627685547,2199.133056640625,290.0,142.5,3155.0,467.724853515625,40175.55859375
2026-05-20,108.0,1905.03857421875,233.05955505371094,2179.186279296875,290.0,139.0,3230.0,471.6886291503906,40020.8203125
2026-05-21,116.0,2019.4403076171875,240.34266662597656,2224.06640625,308.0,137.5,3550.0,505.38067626953125,41368.2109375
2026-05-22,114.0,2084.102294921875,242.77037048339844,2249.0,316.0,137.0,3860.0,555.918701171875,42267.96875
2026-05-25,125.0,2278.087890625,253.4522705078125,2303.853759765625,316.5,136.5,4245.0,611.4114990234375,43644.3984375
2026-05-26,130.5,2337.775634765625,251.51010131835938,2263.960205078125,316.5,136.0,4265.0,605.4658813476562,43525.37109375
2026-05-27,143.5,2506.891357421875,256.3655090332031,2293.88037109375,312.0,137.0,4640.0,636.18505859375,44256.80078125
2026-05-28,142.0,2377.567626953125,255.39443969726562,2288.8935546875,308.5,136.5,4410.0,621.3209228515625,43636.44140625
2026-05-29,144.5,2432.281494140625,280.6425476074219,2348.73388671875,339.0,137.0,4310.0,605.4658813476562,44732.94140625
